"filename", "language", "C++", "JSON", "Markdown", "CMake", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\CMakeLists.txt", "CMake", 0, 0, 0, 20, 0, 5, 25
"c:\Users\jghig\cxxprojects\licanc\CMakePresets.json", "JSON", 0, 44, 0, 0, 0, 1, 45
"c:\Users\jghig\cxxprojects\licanc\README.md", "Markdown", 0, 0, 2, 0, 0, 1, 3
"c:\Users\jghig\cxxprojects\licanc\include\ast.hpp", "C++", 411, 0, 0, 0, 3, 111, 525
"c:\Users\jghig\cxxprojects\licanc\include\core.hpp", "C++", 109, 0, 0, 0, 11, 43, 163
"c:\Users\jghig\cxxprojects\licanc\include\licanapi.hpp", "C++", 39, 0, 0, 0, 5, 14, 58
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hpp", "C++", 86, 0, 0, 0, 3, 31, 120
"c:\Users\jghig\cxxprojects\licanc\include\token.hpp", "C++", 74, 0, 0, 0, 1, 23, 98
"c:\Users\jghig\cxxprojects\licanc\include\util.hpp", "C++", 7, 0, 0, 0, 1, 2, 10
"c:\Users\jghig\cxxprojects\licanc\src\core.cpp", "C++", 17, 0, 0, 0, 0, 6, 23
"c:\Users\jghig\cxxprojects\licanc\src\generate.cpp", "C++", 9, 0, 0, 0, 0, 3, 12
"c:\Users\jghig\cxxprojects\licanc\src\lex.cpp", "C++", 197, 0, 0, 0, 6, 55, 258
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cpp", "C++", 96, 0, 0, 0, 1, 31, 128
"c:\Users\jghig\cxxprojects\licanc\src\main.cpp", "C++", 158, 0, 0, 0, 5, 51, 214
"c:\Users\jghig\cxxprojects\licanc\src\parse.cpp", "C++", 441, 0, 0, 0, 26, 140, 607
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cpp", "C++", 90, 0, 0, 0, 16, 40, 146
"Total", "-", 1734, 44, 2, 20, 78, 557, 2435
