"filename", "language", "C++", "CMake", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\CMakeLists.txt", "CMake", 0, 1, 0, 0, 1
"c:\Users\jghig\cxxprojects\licanc\include\ast.hpp", "C++", -135, 0, 3, -35, -167
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hpp", "C++", -83, 0, -3, -28, -114
"c:\Users\jghig\cxxprojects\licanc\include\token.hpp", "C++", 1, 0, 0, 0, 1
"c:\Users\jghig\cxxprojects\licanc\include\util.hpp", "C++", 7, 0, 0, 3, 10
"c:\Users\jghig\cxxprojects\licanc\src\ast.cpp", "C++", 228, 0, 15, 15, 258
"c:\Users\jghig\cxxprojects\licanc\src\lex.cpp", "C++", 1, 0, 0, 0, 1
"c:\Users\jghig\cxxprojects\licanc\src\parse.cpp", "C++", -14, 0, -2, -4, -20
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cpp", "C++", -86, 0, -15, -38, -139
"Total", "-", -81, 1, -2, -87, -169
