"filename", "language", "C++", "Markdown", "CMake", "JSON", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\CMakeLists.txt", "CMake", 0, 0, 21, 0, 0, 5, 26
"c:\Users\jghig\cxxprojects\licanc\CMakePresets.json", "JSON", 0, 0, 0, 44, 0, 1, 45
"c:\Users\jghig\cxxprojects\licanc\README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"c:\Users\jghig\cxxprojects\licanc\include\ast.hpp", "C++", 276, 0, 0, 0, 6, 76, 358
"c:\Users\jghig\cxxprojects\licanc\include\core.hpp", "C++", 109, 0, 0, 0, 11, 43, 163
"c:\Users\jghig\cxxprojects\licanc\include\licanapi.hpp", "C++", 39, 0, 0, 0, 5, 14, 58
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hpp", "C++", 3, 0, 0, 0, 0, 3, 6
"c:\Users\jghig\cxxprojects\licanc\include\token.hpp", "C++", 75, 0, 0, 0, 1, 23, 99
"c:\Users\jghig\cxxprojects\licanc\include\util.hpp", "C++", 14, 0, 0, 0, 1, 5, 20
"c:\Users\jghig\cxxprojects\licanc\src\ast.cpp", "C++", 228, 0, 0, 0, 15, 15, 258
"c:\Users\jghig\cxxprojects\licanc\src\core.cpp", "C++", 17, 0, 0, 0, 0, 6, 23
"c:\Users\jghig\cxxprojects\licanc\src\generate.cpp", "C++", 9, 0, 0, 0, 0, 3, 12
"c:\Users\jghig\cxxprojects\licanc\src\lex.cpp", "C++", 198, 0, 0, 0, 6, 55, 259
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cpp", "C++", 96, 0, 0, 0, 1, 31, 128
"c:\Users\jghig\cxxprojects\licanc\src\main.cpp", "C++", 158, 0, 0, 0, 5, 51, 214
"c:\Users\jghig\cxxprojects\licanc\src\parse.cpp", "C++", 427, 0, 0, 0, 24, 136, 587
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cpp", "C++", 4, 0, 0, 0, 1, 2, 7
"Total", "-", 1653, 2, 21, 44, 76, 470, 2266
