"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\include\ast.hh", "C++", 265, 15, 74, 354
"c:\Users\jghig\cxxprojects\licanc\include\ast.hpp", "C++", -276, -6, -76, -358
"c:\Users\jghig\cxxprojects\licanc\include\core.hh", "C++", 85, 16, 35, 136
"c:\Users\jghig\cxxprojects\licanc\include\core.hpp", "C++", -109, -11, -43, -163
"c:\Users\jghig\cxxprojects\licanc\include\licanapi.hh", "C++", 26, 22, 13, 61
"c:\Users\jghig\cxxprojects\licanc\include\licanapi.hpp", "C++", -39, -5, -14, -58
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hh", "C++", 3, 0, 3, 6
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hpp", "C++", -3, 0, -3, -6
"c:\Users\jghig\cxxprojects\licanc\include\token.hh", "C++", 78, 1, 24, 103
"c:\Users\jghig\cxxprojects\licanc\include\token.hpp", "C++", -75, -1, -23, -99
"c:\Users\jghig\cxxprojects\licanc\include\util.hh", "C++", 40, 9, 11, 60
"c:\Users\jghig\cxxprojects\licanc\include\util.hpp", "C++", -14, -1, -5, -20
"c:\Users\jghig\cxxprojects\licanc\src\ast.cc", "C++", 222, 7, 13, 242
"c:\Users\jghig\cxxprojects\licanc\src\ast.cpp", "C++", -228, -15, -15, -258
"c:\Users\jghig\cxxprojects\licanc\src\core.cc", "C++", 54, 0, 17, 71
"c:\Users\jghig\cxxprojects\licanc\src\core.cpp", "C++", -17, 0, -6, -23
"c:\Users\jghig\cxxprojects\licanc\src\generate.cc", "C++", 9, 0, 3, 12
"c:\Users\jghig\cxxprojects\licanc\src\generate.cpp", "C++", -9, 0, -3, -12
"c:\Users\jghig\cxxprojects\licanc\src\lex.cc", "C++", 200, 18, 56, 274
"c:\Users\jghig\cxxprojects\licanc\src\lex.cpp", "C++", -198, -6, -55, -259
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cc", "C++", 108, 1, 33, 142
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cpp", "C++", -96, -1, -31, -128
"c:\Users\jghig\cxxprojects\licanc\src\main.cc", "C++", 159, 17, 52, 228
"c:\Users\jghig\cxxprojects\licanc\src\main.cpp", "C++", -158, -5, -51, -214
"c:\Users\jghig\cxxprojects\licanc\src\parse.cc", "C++", 457, 48, 147, 652
"c:\Users\jghig\cxxprojects\licanc\src\parse.cpp", "C++", -427, -24, -136, -587
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 4, 1, 2, 7
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cpp", "C++", -4, -1, -2, -7
"Total", "-", 57, 79, 20, 156
