"filename", "language", "C++", "Markdown", "JSON", "CMake", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\CMakeLists.txt", "CMake", 0, 0, 0, 21, 0, 5, 26
"c:\Users\jghig\cxxprojects\licanc\CMakePresets.json", "JSON", 0, 0, 44, 0, 0, 1, 45
"c:\Users\jghig\cxxprojects\licanc\README.md", "Markdown", 0, 2, 0, 0, 0, 1, 3
"c:\Users\jghig\cxxprojects\licanc\include\ast.hh", "C++", 265, 0, 0, 0, 15, 74, 354
"c:\Users\jghig\cxxprojects\licanc\include\core.hh", "C++", 85, 0, 0, 0, 16, 35, 136
"c:\Users\jghig\cxxprojects\licanc\include\licanapi.hh", "C++", 26, 0, 0, 0, 22, 13, 61
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hh", "C++", 3, 0, 0, 0, 0, 3, 6
"c:\Users\jghig\cxxprojects\licanc\include\token.hh", "C++", 78, 0, 0, 0, 1, 24, 103
"c:\Users\jghig\cxxprojects\licanc\include\util.hh", "C++", 40, 0, 0, 0, 9, 11, 60
"c:\Users\jghig\cxxprojects\licanc\src\ast.cc", "C++", 222, 0, 0, 0, 7, 13, 242
"c:\Users\jghig\cxxprojects\licanc\src\core.cc", "C++", 54, 0, 0, 0, 0, 17, 71
"c:\Users\jghig\cxxprojects\licanc\src\generate.cc", "C++", 9, 0, 0, 0, 0, 3, 12
"c:\Users\jghig\cxxprojects\licanc\src\lex.cc", "C++", 200, 0, 0, 0, 18, 56, 274
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cc", "C++", 108, 0, 0, 0, 1, 33, 142
"c:\Users\jghig\cxxprojects\licanc\src\main.cc", "C++", 159, 0, 0, 0, 17, 52, 228
"c:\Users\jghig\cxxprojects\licanc\src\parse.cc", "C++", 457, 0, 0, 0, 48, 147, 652
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 4, 0, 0, 0, 1, 2, 7
"Total", "-", 1710, 2, 44, 21, 155, 490, 2422
