"filename", "language", "C++", "JSON", "CMake", "Markdown", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\licanc\CMakeLists.txt", "CMake", 0, 0, 21, 0, 0, 5, 26
"c:\Users\jghig\cxxprojects\licanc\CMakePresets.json", "JSON", 0, 44, 0, 0, 0, 1, 45
"c:\Users\jghig\cxxprojects\licanc\README.md", "Markdown", 0, 0, 0, 2, 0, 1, 3
"c:\Users\jghig\cxxprojects\licanc\include\ast.hh", "C++", 307, 0, 0, 0, 17, 90, 414
"c:\Users\jghig\cxxprojects\licanc\include\core.hh", "C++", 85, 0, 0, 0, 16, 35, 136
"c:\Users\jghig\cxxprojects\licanc\include\licanapi.hh", "C++", 26, 0, 0, 0, 22, 13, 61
"c:\Users\jghig\cxxprojects\licanc\include\symbol.hh", "C++", 3, 0, 0, 0, 0, 3, 6
"c:\Users\jghig\cxxprojects\licanc\include\token.hh", "C++", 78, 0, 0, 0, 1, 24, 103
"c:\Users\jghig\cxxprojects\licanc\include\util.hh", "C++", 40, 0, 0, 0, 9, 11, 60
"c:\Users\jghig\cxxprojects\licanc\src\ast.cc", "C++", 284, 0, 0, 0, 10, 15, 309
"c:\Users\jghig\cxxprojects\licanc\src\core.cc", "C++", 54, 0, 0, 0, 0, 17, 71
"c:\Users\jghig\cxxprojects\licanc\src\generate.cc", "C++", 9, 0, 0, 0, 0, 3, 12
"c:\Users\jghig\cxxprojects\licanc\src\lex.cc", "C++", 200, 0, 0, 0, 18, 56, 274
"c:\Users\jghig\cxxprojects\licanc\src\licanapi.cc", "C++", 109, 0, 0, 0, 1, 34, 144
"c:\Users\jghig\cxxprojects\licanc\src\main.cc", "C++", 157, 0, 0, 0, 21, 54, 232
"c:\Users\jghig\cxxprojects\licanc\src\parse.cc", "C++", 463, 0, 0, 0, 68, 148, 679
"c:\Users\jghig\cxxprojects\licanc\src\semantic.cc", "C++", 4, 0, 0, 0, 1, 2, 7
"Total", "-", 1819, 44, 21, 2, 184, 512, 2582
